Mehrlinsen- und Mehrspiegelsysteme,Eine Linse kann von einem virtuellen Bild von einer anderen Linse kein Bild entstehen lassen, 1) falsch, 2) wahr, 3) wer weiss, 4) nur eine annaeherung, 1
Mehrlinsen- und Mehrspiegelsysteme,Der Vorteil von Mehrspiegelysteme zu Mehrlinsensysteme ist, 1) Linsen muessen organisch kultiviert werden , 2) geringere Farbzerlegung, 3) Spiegel entstehen in der Nacht beim Zugfahren wenn man aus dem Fenster schaut, 4) Spiegel koennen in der Schweiz produziert werden,2
Mehrlinsen- und Mehrspiegelsysteme,Ein Mehrlinsen System besteht aus mehreren Linsen, 1) wahr, 2) falsch, 3) egal, 4) nur eine annaeherung, 1
Mehrlinsen- und Mehrspiegelsysteme,Mehrlinsen System mit 2 Woelbspiegeln. Vorzeichen des zweiten Bildpunktes wenn der erste positiv., 1) negativ, 2) positiv, 3) egal, 4) nur eine annaeherung, 2
Reflexion & Brechung,Wie schnell ist die Lichtgeschwindigkeit?, 1) ca. 3*10^9 km/h, 2) ca. 3*10^8 m/s, 3) ca. 3*10^7km/s, 4) ca. 3*10^9m/s, 4
Reflexion & Brechung,Wann trifft eine Totalreflexion auf?, 1) Trifft das Licht genau senkrecht auf ein Medium(Einfallswinkel = 0�) kann eine Totalreflexion auftreten., 2) Trifft Licht aus einem Medium (Medium mit hoeherer Brechzahl) kommend auf die Grenzflaeche zu einem zweiten Medium (Medium mit niedrigerer Brechzahl) kann eine Totalreflexion auftreten., 3) Trifft das Licht auf ein Medium welche genau die gleiche Brechzahl besitzen kann eine Totalreflexion entstehen., 4) Trifft Licht aus einem Medium(Medium mit niedrigerer Brechzahl) auf ein zweiten Medium(Medium mit hoeherer Brechzahl) und der Einfallswinkel gleich dem Ausfallswinkel ist kann eine Totalreflexion entstehen., 2
Reflexion & Brechung,Wie sieht die Formel fuer den Ausfallwinkel aus?, 1) arccos(n_1*sin(Theta_2)/n_1, 2) arcsin(n_1*sin(Theta_2)/n_1, 3) arcsin(n_2*sin(Theta_1)/n_1, 4) arcsin(n_1*sin(Theta_1)/n_2), 4
Bildentstehung Spiegel & Linse,Lateralvergroesserung fuer sphaerische Spiegel und Linsen V=, 1) ca. 3*10^9 km, 2) ca. 3*10^8 m/s, 3) ca. 3*10^7km/s, 4) ca. 3*10^9m/s, 3
Bildentstehung Spiegel & Linse,Was ist korrekt bei einem Lichtstrahl von Links auf einen konvexen Spiegel?, 1) f<0 & r>0, 2) f<0 & r<0, 3) f>0 & r>0, 4) f>0 & r<0, 2
Bildentstehung Spiegel & Linse,Was ist korrekt bei einem Lichtstrahl von Links auf einen konvex-konvex Linse?, 1) R_1 < 0 R_2 < 0, 2) R_1 > 0 R_2 > 0, 3) R_1 < 0 R_2 > 0, 4) R_1 > 0 R_2 < 0, 4
Bildentstehung Spiegel & Linse,Welcher Radius hat ein  Planspiegel?, 1) R=1 , 2) R=unendlich, 3) R=0, 4) R>0, 2

